drugName,condition,review,rating
Pennsaid,Osteoarthritis,"I'm 30 yo male, 6 months ago a had surgery on broken navicular (arch of foot) ever since I've had occasional swelling and pain towards the end of the day, I'm very active work outdoors. I take Movic as needed but requested something along the line of a cream for on site relief from my Dr, he gave me some Pennsaid samples. I will be requesting a prescription asap! I get relief in 10 minutes of application ! Hope this helps someone",9
Tylenol with Codeine #3,Pain,"I am currently taking this medication for moderate pain reduction. I hurt my wrist by falling on concrete stairs. It does reduce the pain and works very well. The only downside is stomach upset, nausea, and extreme sleepiness. I do not have any kind of narcotic tolerance. This medicine is for minor to moderate relief of pain, and should be used as such. This medicine in my book scores a 8 out of 10 points for managing moderate pain. Highly recommend.",8
Dexedrine,ADHD,Calmed my racing thoughts a lot. Downside is the days I don't take them I feel mentally groggy,8
Sominex,Insomnia,Takes a while to get to sleep but once asleep that's how I stay. However I have found that it still effects me the next day. .....extremely groggy and exhausted. Not for me .,4
Risperdal,Bipolar Disorde,"Was only on 2mg of Risperdal for two months. While it did handle my moods and anger outbursts almost completely, it did nothing to help with insomnia, which should have been my clue that it was too activating for me. A month after starting this med I started having heart palpitations (I've never had a heart problem) that continued to get worse until I had been to the ER twice, family Dr once, with an appt scheduled with a cardiologist, legitimately thinking something major was wrong. Two dr's suggested that Risperdal could be causing it, so I began tapering. Two weeks later I am completely off the Risperdal, back on Zyprexa and my heart is fine now. Very scary for me.",3
Montelukast,Allergic Rhinitis,"Finally, finally, finally! I was originally given this for COPD and asthma so you might be wondering why I am writing this under allergic rhinitis. 24 hours after the first dose and ever since, my nose and sinuses are clear for the first time in literally my entire adolescent and adult life. I can sleep, breathe, and it has greatly helped asthma! Not a single side effect to be found.",10
Azelastine / fluticasone,Allergic Rhinitis,"So allergist gave me sample, have been using Flonase. The after taste is awful but worse is the subsequent coughing, nausea with vomiting shortly afterwards, slight headache. Did not realize extra tiredness was also from this. It does feel like the nasal passages are opened up more but the morning porcelain throne is not worth it. And no not pregnant! Ain't possible. Definitely will inform MD.",3
Amrix,Muscle Spasm,"Amrix does relieve the pain however it made me very tired and out of it. The next day I still felt exhausted, it's not for me.",7
Amlodipine / olmesartan,High Blood Pressure,"Too soon to tell but noticed immediate sense of well being. Better sleep (>apnea), less frequent urination, but now I see that is one side effect. Also noted feet swelling in first 3 days, but that may be attributable to dietary factors. Overall a very observable increase in energy.",8
Monistat 7,Vaginal Yeast Infection,So I started itching in my private area! I diagnosed myself because I tried to go to ER but I was there for like 4 hours waiting for a doc. I got this Monistat 7 day. Yesterday was my first day and it burned and itched so bad I felt worse. So tonight I did it again (mind u I had no itching/burning all day but once I did my treatment it burned itched badly. I'm stopping this Medicine. Not worth almost 20 dollars. I never had this issue before so I didn't know whether it was a yeast infection. Best bet is to see an MD instead. Not happy customer!,1
Suvorexant,Insomnia,"Tried this to replace zolpidem. Horrible experience with single dose of 10 mg Belsomra. No impact on helping me fall asleep within a reasonable time, then I felt I was in a horrible twilight zone, aware that I was neither truly awake nor asleep but unable to move my muscles, feeling very afraid and panicked. I finally did manage to get myself fully awake and would NOT even try to go back to sleep, turned on the lights, kept myself busy to give the drug time to clear my system. NEVER AGAIN.",1
Lorazepam,Panic Disorde,Excellent experience with Ativan. Have used it for flight anxiety and flew with a smile on my face. Also used it for general panic disorder. Right when I feel a panic attack coming on I take 0.5mg- very small amount. It kills the panic attack in 15-20 minutes and I feel incredibly relaxed for hours. Only side effect was slight drowsiness but it was not bad at all- even useful if I was trying to go to bed. Highly recommend.,10
Opana ER,Pain,"I crashed a motorcycle almost ten years ago at 80 mph. I am lucky to be alive and walking. I have tons back problems now though. The doctors fed me high doses of every narco out there. I became addicted to the feeling of being painfree, no matter how many pills I had to take. Life got unmanagable and I was tired of it. After ten years of this I decided to start from scratch and clean up and get re-evaluated and try a different path. I was put on suboxone 8mg for about 8 months to treat the addiction. After that I had no desire to put a pill in my mouth. SUBOXONE WILL SAVE YOUR LIFE. Just taking Opana ER 30mg twice a day now.",10
Junel Fe 1 / 20,Birth Control,"Let's start with the good - this medication prevented pregnancy, so I guess it is effective. However, the side effects for me were crazy. I have been on Junel for several months now and have experienced the following side effects: dry skin on my face, bleeding of the gums, spotting, and crazy moodiness. I tried to give it time but the side effects continued. I am switching to another pill. I have been on other brands in the past and have never had side effects.",5
